117,171,52,31,-145,111,18,104,105,111,115,101
125,177,51,35,-151,114,19,106,106,114,119,107
131,181,49,40,-157,115,19,108,107,118,123,112
136,184,46,44,-161,115,18,110,108,121,126,117
139,185,45,46,-163,115,17,111,109,123,130,120
139,185,45,46,-163,115,16,113,110,125,132,122
138,184,45,46,-162,115,15,114,111,126,133,122
137,183,46,45,-161,115,13,114,112,125,132,122
136,183,46,44,-160,115,10,114,112,124,131,121
136,183,46,44,-160,115,8,113,112,122,129,120
136,183,46,44,-160,115,6,112,112,121,128,119
134,183,48,43,-159,116,5,111,111,119,127,118
133,182,49,41,-158,116,5,111,111,118,127,117
131,182,50,40,-157,117,5,111,111,118,127,117
130,181,50,40,-156,117,5,111,110,118,127,117
132,180,48,41,-157,116,5,111,109,118,127,117
132,180,47,41,-156,115,6,110,109,119,127,118
130,178,47,40,-154,114,7,110,109,119,127,118
129,177,48,39,-153,113,9,111,110,120,128,118
127,176,49,38,-152,113,11,111,110,121,129,119
127,176,50,38,-152,113,13,111,109,121,129,118
127,177,50,38,-153,113,13,110,108,121,129,117
126,176,49,38,-152,113,12,108,106,120,128,115
125,174,49,37,-150,112,11,106,105,117,126,112
122,171,49,36,-147,110,10,102,102,114,123,108
118,167,49,34,-143,108,10,99,100,110,119,104
115,164,49,33,-140,106,10,96,97,106,115,100
112,160,48,32,-137,105,11,92,95,103,111,96
108,156,48,30,-133,103,12,90,92,101,108,94
104,152,48,28,-129,100,13,87,90,99,106,92
97,145,48,24,-122,97,13,84,88,98,103,90
87,137,49,19,-113,93,13,81,86,96,100,87
79,129,50,14,-105,90,13,77,83,93,97,85
72,122,51,10,-98,87,15,73,80,91,94,83
67,118,51,7,-94,85,17,70,78,89,91,81
65,116,51,7,-92,84,20,67,75,87,89,79
64,114,50,6,-90,83,24,64,72,85,86,78
63,112,49,6,-89,81,26,61,69,83,84,76
61,110,49,5,-86,80,29,57,65,80,81,74
57,106,49,3,-82,78,30,54,62,77,77,70
52,101,49,0,-77,75,31,50,58,73,73,66
45,94,50,-4,-70,72,32,47,55,69,69,61
38,88,50,-7,-63,69,33,44,52,65,66,56
32,82,50,-10,-57,66,33,41,49,61,62,51
27,76,49,-12,-52,63,32,39,46,58,59,47
25,72,47,-12,-49,60,31,36,43,55,55,43
22,68,46,-13,-46,57,30,34,39,51,52,39
18,64,45,-14,-42,55,28,30,35,47,48,35
16,61,45,-15,-39,53,27,27,31,43,44,31
14,59,44,-16,-38,52,26,24,28,39,41,27
15,59,44,-15,-38,51,25,21,26,37,38,25
16,60,43,-14,-39,52,25,19,23,34,35,23
16,60,43,-14,-40,52,25,17,22,32,33,22
15,59,43,-15,-39,52,25,16,20,31,31,21
14,58,43,-15,-38,51,26,16,19,30,30,22
14,57,42,-15,-37,51,26,17,19,30,31,22
15,57,41,-14,-37,50,27,17,19,30,32,23
16,57,40,-13,-38,49,28,18,19,31,32,25
16,57,39,-12,-38,49,28,18,19,31,33,26
16,56,38,-12,-38,48,28,18,19,31,32,28
15,55,38,-12,-37,47,29,19,19,32,32,30
13,53,39,-14,-35,47,29,19,20,33,33,31
10,53,41,-16,-33,48,30,20,21,34,33,32
7,52,43,-18,-32,49,31,21,22,35,34,33
6,52,45,-20,-31,50,31,21,22,35,34,33
7,53,45,-20,-32,50,31,20,21,34,33,32
8,54,44,-19,-33,50,31,19,20,33,32,31
9,54,44,-18,-33,50,30,17,18,31,29,29
10,55,43,-18,-34,50,29,16,16,28,27,27
10,55,43,-17,-34,50,28,14,15,26,26,25
12,55,42,-16,-35,49,27,13,14,23,24,23
14,56,41,-15,-36,49,26,12,12,21,22,21
15,56,39,-14,-37,48,25,11,11,19,21,19
14,54,38,-13,-35,47,24,10,10,17,18,17
13,52,37,-13,-34,45,24,8,9,16,17,15
11,48,35,-13,-31,43,25,7,8,16,15,14
10,46,35,-13,-29,41,26,7,9,16,15,13
9,45,34,-14,-28,40,28,7,9,16,16,14
8,43,34,-14,-27,39,29,8,10,17,17,15
7,43,34,-14,-26,39,31,9,11,18,18,16
8,43,34,-14,-26,38,32,10,12,20,20,18
9,44,34,-14,-27,39,33,11,13,21,22,19
10,46,34,-13,-29,40,34,12,14,22,23,21
11,48,35,-13,-31,42,35,13,15,23,24,23
12,50,37,-13,-32,43,35,14,16,24,25,24
11,51,38,-14,-33,45,35,15,17,25,26,25
11,52,40,-15,-33,46,34,16,18,25,26,26
10,53,41,-16,-33,47,33,16,18,25,26,27
10,54,42,-16,-33,48,32,17,19,26,26,27
12,55,42,-16,-35,49,32,18,20,27,27,28
13,57,42,-15,-37,50,31,20,21,28,27,28
15,59,43,-14,-39,51,31,21,21,29,28,29
16,61,44,-14,-40,53,31,22,22,31,29,30
17,64,46,-14,-42,55,30,23,23,32,30,30
18,66,48,-15,-43,57,30,23,23,33,31,31
18,69,50,-16,-45,60,29,24,24,34,32,32
18,71,52,-17,-46,62,28,24,24,34,33,32
18,73,55,-18,-47,64,28,25,25,35,34,33
18,74,57,-19,-47,66,28,27,27,36,35,33
17,75,58,-21,-47,67,28,28,28,37,37,34
15,74,59,-22,-46,67,28,29,29,38,38,34
14,73,59,-22,-45,67,28,29,30,39,39,35
13,71,57,-22,-44,65,28,30,31,40,41,36
14,70,55,-21,-43,64,28,30,32,41,42,38
15,70,54,-19,-44,63,29,31,34,42,44,40
17,70,52,-18,-45,62,30,33,35,44,47,43
18,71,52,-17,-46,62,30,34,37,46,49,46
19,72,52,-16,-47,63,31,35,39,48,52,49
19,73,53,-17,-48,64,32,36,40,50,53,51
19,75,55,-18,-48,66,32,37,41,51,55,54
19,76,57,-19,-49,68,33,38,42,53,56,56
19,78,59,-20,-50,69,33,39,43,54,57,58
20,81,60,-20,-52,71,33,40,44,56,58,60
22,83,61,-19,-54,73,34,40,45,58,60,61
24,86,61,-19,-57,75,34,41,46,59,61,63
26,88,62,-18,-58,76,33,41,46,60,61,64
26,89,62,-19,-59,77,32,40,46,61,61,64
25,89,64,-20,-59,77,31,40,46,61,61,65
23,89,66,-22,-57,78,30,39,45,61,60,65
20,89,68,-25,-56,79,28,39,44,60,60,65
18,88,70,-27,-54,79,27,38,43,60,60,65
16,88,71,-28,-53,80,27,37,42,60,59,64
16,88,70,-28,-53,80,26,36,40,59,59,63
17,87,69,-26,-53,79,25,35,38,58,58,62
19,87,67,-24,-54,78,25,34,37,57,57,61
20,87,65,-23,-54,77,24,33,35,55,56,59
21,86,64,-22,-54,76,24,33,34,54,55,58
21,84,63,-21,-54,75,24,33,34,53,54,56
20,83,62,-21,-53,73,24,33,33,52,53,55
19,81,61,-21,-51,72,24,33,33,51,53,54
19,80,60,-21,-50,71,24,32,33,50,52,53
19,79,59,-20,-50,70,24,32,33,50,51,53
19,78,57,-20,-49,69,24,31,33,49,51,52
20,77,56,-19,-49,68,24,30,33,49,49,52
20,77,55,-19,-49,67,24,29,32,48,48,51
21,76,55,-19,-49,66,24,28,31,47,47,51
21,75,54,-18,-49,66,23,26,29,46,45,50
22,75,52,-17,-49,64,23,25,27,44,43,49
23,74,50,-15,-50,63,23,23,25,42,41,48
24,73,48,-13,-50,62,22,22,23,40,39,46
25,73,47,-12,-50,61,21,21,22,38,37,45
25,71,46,-11,-49,60,20,20,21,36,35,43
24,69,45,-11,-48,59,18,19,20,35,33,42
22,67,46,-12,-45,58,17,19,21,34,32,41
19,64,46,-14,-43,57,16,20,21,34,32,41
17,62,46,-15,-41,56,16,21,22,34,32,41
16,61,47,-16,-40,56,16,22,23,35,33,42
16,62,47,-16,-40,56,18,23,24,36,34,43
18,65,48,-16,-42,58,20,25,26,37,36,44
20,69,49,-15,-45,60,22,27,28,39,38,46
22,73,52,-15,-48,64,25,30,30,42,41,48
24,78,55,-16,-52,68,28,32,33,44,43,50
24,82,59,-18,-54,72,31,35,35,46,45,52
24,86,63,-20,-56,76,33,37,37,47,46,53
23,89,67,-23,-57,79,36,38,39,48,46,53
21,92,72,-26,-58,83,38,39,41,48,47,54
20,95,76,-29,-59,87,40,41,43,49,47,54
19,99,81,-31,-61,91,42,43,45,51,48,55
20,103,84,-33,-63,95,45,45,47,53,50,56
21,107,87,-34,-66,98,47,47,48,55,52,57
22,111,90,-34,-68,102,50,49,50,57,54,59
23,115,92,-35,-71,105,53,51,52,58,56,60
24,120,95,-36,-74,109,55,53,53,60,58,62
25,124,99,-37,-76,112,58,55,54,62,60,63
25,128,103,-39,-78,116,59,56,56,63,62,65
24,132,107,-42,-79,120,60,57,57,65,63,66
23,135,111,-45,-80,123,60,58,58,66,64,67
22,138,115,-47,-81,126,58,58,59,67,65,68
22,140,118,-48,-82,129,56,58,59,68,66,70
23,143,119,-48,-84,131,54,58,60,69,67,71
26,146,120,-47,-87,133,51,58,61,70,68,73
29,150,120,-46,-90,135,49,60,62,71,70,75
33,154,120,-44,-94,138,47,61,63,73,72,78
38,159,120,-42,-99,140,45,63,65,75,74,81
43,165,120,-39,-104,143,44,65,67,78,77,85
50,170,120,-36,-110,146,43,67,68,80,80,89
56,176,119,-32,-117,148,42,68,70,82,83,92
62,181,118,-29,-122,150,42,69,71,84,85,95
67,186,118,-26,-127,152,41,69,71,85,87,97
71,189,117,-24,-131,154,40,68,71,86,87,99
74,191,117,-23,-133,155,39,67,70,86,87,99
75,192,116,-21,-134,155,38,65,69,85,86,99
76,191,114,-20,-134,153,36,63,67,84,85,98
76,188,111,-18,-133,151,34,60,65,82,83,96
76,184,107,-16,-131,146,31,57,62,79,80,94
75,178,102,-13,-128,141,28,54,59,76,77,91
74,170,95,-11,-123,134,26,51,56,73,73,87
72,161,88,-8,-118,126,23,48,53,69,70,84
69,151,81,-6,-111,117,21,45,50,66,66,80
65,139,74,-4,-103,108,20,42,47,62,62,76
60,128,68,-4,-95,99,19,40,44,59,59,72
54,116,62,-4,-86,90,18,37,42,56,55,67
48,104,56,-4,-77,81,17,34,39,53,52,63
43,94,51,-5,-69,74,16,32,36,49,48,58
37,85,47,-5,-61,67,15,29,33,45,44,53
32,76,43,-6,-55,61,15,25,29,41,40,48
28,68,40,-6,-48,55,15,22,26,36,35,42
23,60,37,-7,-42,50,15,18,22,31,31,37
19,53,33,-7,-37,44,14,14,18,26,26,31
16,46,30,-7,-31,39,13,10,14,21,21,25
14,40,26,-6,-27,34,11,7,10,16,17,20
12,34,22,-5,-24,29,10,4,7,12,13,15
11,29,18,-4,-20,25,9,1,4,8,9,11
10,24,15,-3,-17,21,7,-1,2,5,6,7
8,19,11,-2,-14,17,6,-3,0,3,4,5
6,15,8,-2,-11,13,4,-4,-1,1,2,3
4,11,6,-2,-8,10,3,-6,-3,0,0,1
2,7,5,-3,-5,8,2,-7,-4,-1,-1,0
-1,5,5,-4,-3,6,0,-8,-5,-2,-2,-1
-3,3,5,-5,-1,6,-1,-9,-6,-2,-3,-1
-5,2,6,-7,1,5,-2,-10,-7,-3,-3,-2
-7,1,7,-8,2,5,-3,-11,-7,-3,-4,-2
-8,-1,7,-8,4,4,-4,-12,-8,-3,-4,-2
-9,-3,6,-8,6,2,-5,-13,-10,-5,-5,-2
-11,-6,5,-8,8,0,-6,-15,-11,-6,-6,-2
-12,-8,3,-8,10,-2,-7,-15,-12,-7,-7,-2
-12,-10,2,-7,11,-3,-7,-15,-13,-8,-7,-2
-11,-10,1,-6,10,-4,-7,-15,-13,-8,-6,-2
-10,-9,1,-5,9,-3,-7,-13,-12,-7,-5,-1
-8,-7,1,-4,7,-3,-6,-12,-11,-6,-4,-1
