1,2,3,4,5,6,7,8,9,10,11,12
176,194,18,79,-184,107,34,33,354,280,226,204
20,17,-4,13,-19,7,0,3,47,29,26,31
87,94,6,41,-90,51,10,20,170,129,110,105
117,134,17,52,-125,75,15,25,242,188,161,145
139,157,18,62,-148,88,22,40,264,211,182,162
154,166,13,71,-158,89,29,58,261,213,186,165
153,167,14,71,-159,90,29,74,246,210,185,162
150,166,19,67,-157,92,24,90,236,214,187,161
154,175,23,67,-163,99,27,108,241,227,195,170
168,195,28,72,-180,111,33,131,259,249,211,187
182,214,33,76,-197,123,39,155,281,274,231,206
193,228,37,79,-208,133,43,182,297,296,249,222
200,240,41,81,-219,141,46,203,297,305,255,227
200,243,44,78,-220,144,47,215,278,299,251,222
186,234,49,71,-208,140,47,225,243,278,234,208
166,216,51,58,-189,133,45,229,200,247,212,188
140,198,58,43,-168,127,44,234,168,223,195,171
116,182,66,28,-149,124,46,239,150,208,183,161
94,169,75,11,-130,122,49,239,139,200,176,153
74,160,86,-4,-115,123,58,239,133,202,171,151
65,152,87,-9,-108,119,55,238,127,201,166,146
62,143,81,-8,-102,112,46,238,119,195,161,136
60,140,80,-8,-99,110,48,243,108,186,153,130
57,136,80,-10,-95,108,56,248,94,173,141,121
41,125,83,-19,-81,104,57,248,72,158,130,108
18,108,91,-36,-62,98,53,243,48,142,117,94
13,99,85,-36,-54,92,46,236,25,121,101,79
23,98,76,-25,-60,87,36,227,9,101,85,66
35,101,68,-16,-66,84,28,224,2,89,79,60
49,111,61,-5,-79,85,23,225,1,81,79,59
60,115,56,3,-86,85,24,228,4,80,80,60
65,114,50,8,-89,83,30,232,4,79,78,60
71,115,45,14,-91,79,35,231,1,79,75,59
73,109,39,18,-89,74,40,226,-7,77,71,53
57,98,42,9,-76,70,37,224,-14,72,68,48
30,80,51,-11,-54,66,30,221,-18,66,66,44
19,70,53,-16,-42,61,29,221,-27,60,59,38
18,65,50,-15,-41,57,29,222,-35,54,49,34
16,63,47,-14,-38,55,29,225,-35,52,48,32
24,67,45,-9,-45,55,29,227,-33,53,50,32
29,70,42,-5,-48,55,28,229,-32,53,51,32
36,73,38,1,-54,55,28,230,-31,53,50,32
43,76,34,6,-59,55,27,230,-33,53,48,32
47,77,31,10,-61,54,25,230,-36,51,44,31
47,76,30,11,-61,53,23,229,-41,49,40,29
44,73,31,9,-58,52,22,230,-45,48,36,28
39,70,33,5,-54,51,23,231,-48,48,33,27
34,67,35,1,-50,51,23,232,-49,48,32,26
30,65,37,-2,-47,51,24,233,-49,49,32,26
26,65,40,-5,-45,52,25,234,-47,50,34,27
22,65,44,-9,-43,55,26,235,-45,52,37,29
18,66,49,-13,-41,57,28,235,-43,55,41,33
16,67,52,-16,-41,59,29,234,-41,58,45,37
17,68,52,-15,-42,60,30,233,-41,58,47,40
22,70,49,-11,-45,60,32,232,-42,57,49,42
28,71,44,-6,-49,58,33,231,-43,56,49,43
33,71,39,-1,-51,55,34,229,-45,55,48,43
34,67,34,2,-49,51,33,225,-48,53,46,41
31,62,32,2,-45,47,31,219,-51,52,44,38
25,58,33,-1,-41,46,30,213,-54,50,41,36
20,57,37,-6,-38,47,29,209,-54,50,39,35
16,57,42,-10,-36,50,29,209,-54,50,37,34
13,57,45,-13,-35,51,28,210,-52,50,36,34
11,57,46,-15,-33,52,26,213,-50,51,36,34
10,56,47,-16,-32,52,25,215,-48,51,37,35
10,57,47,-17,-32,51,24,217,-46,51,39,35
13,59,47,-16,-35,52,25,218,-44,51,41,36
17,63,47,-14,-38,54,26,218,-42,53,44,37
19,66,48,-13,-41,56,27,219,-40,55,46,38
21,69,48,-13,-44,58,28,219,-38,56,47,39
22,71,49,-12,-45,59,28,219,-36,56,48,40
23,73,50,-12,-47,60,29,219,-34,54,48,40
25,74,50,-12,-49,61,29,219,-33,53,47,39
27,76,50,-10,-51,62,29,218,-32,52,47,38
31,77,47,-7,-53,61,27,217,-32,53,46,36
36,76,41,-2,-55,58,25,215,-33,52,45,33
40,75,35,3,-57,54,23,212,-35,51,44,30
43,72,29,7,-57,50,21,209,-37,49,42,28
44,69,26,9,-56,47,19,207,-37,48,40,27
41,66,24,9,-53,44,18,206,-36,48,39,27
37,62,24,8,-50,42,18,204,-36,48,39,28
33,59,25,5,-46,42,19,201,-35,48,38,28
27,56,29,0,-41,42,22,200,-35,49,38,30
21,54,34,-5,-37,44,25,200,-33,51,39,32
16,54,39,-11,-34,47,29,202,-30,55,40,36
10,55,45,-16,-32,50,32,204,-26,59,42,40
7,56,50,-20,-30,53,35,205,-23,62,43,43
6,57,52,-21,-31,54,37,205,-22,64,44,45
8,57,50,-19,-32,54,36,203,-22,65,44,45
12,56,46,-16,-33,51,35,199,-25,64,43,43
16,54,39,-10,-34,47,32,195,-28,61,42,40
23,53,32,-3,-37,43,29,191,-31,59,40,36
30,53,24,4,-41,39,26,187,-34,56,38,31
35,54,19,9,-44,37,24,182,-36,52,36,27
37,53,17,11,-44,35,23,177,-37,48,35,23
34,51,18,9,-42,35,22,174,-37,45,33,21
29,49,22,5,-39,36,21,171,-35,43,33,20
23,48,27,0,-35,38,21,171,-33,42,34,21
18,49,32,-5,-33,41,21,173,-31,41,35,22
16,52,37,-9,-33,45,23,175,-29,41,37,24
14,57,43,-13,-35,50,24,177,-27,42,38,26
13,62,48,-16,-36,55,26,178,-25,45,40,29
11,65,53,-19,-37,59,28,178,-22,48,42,32
9,66,55,-21,-36,61,28,177,-20,51,44,35
7,65,56,-23,-35,61,27,175,-19,54,46,37
7,64,55,-23,-35,60,25,173,-18,57,47,38
9,65,54,-22,-36,60,23,170,-18,58,48,38
13,66,52,-19,-39,59,22,167,-18,58,48,37
16,66,50,-16,-40,59,21,164,-20,57,47,36
18,67,49,-15,-41,58,21,160,-22,55,45,35
17,66,49,-15,-40,58,22,157,-23,53,44,34
14,64,50,-17,-37,57,23,154,-24,52,42,33
12,62,51,-19,-35,57,22,152,-24,50,41,31
